Data,Timestamp,Temperatura,Umidade,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,Horas de Trabalho,Falha
2016-01-02 07:00:00,1451718000,68,82,1767,2,1,908,996,334,1829,1622,378,1468,778,1396,1891,1486,1557,121,No
2016-01-02 08:00:00,1451721600,67,76,1303,2,2,679,692,1720,1184,855,464,1002,518,949,1591,255,934,122,No
2016-01-02 09:00:00,1451725200,65,81,1482,1,2,1275,1915,1456,748,1951,1439,1970,1713,253,863,299,1442,123,No
2016-01-02 10:00:00,1451728800,68,83,1241,3,2,197,1418,282,398,909,1022,705,299,1111,1332,1185,477,124,No
2016-01-02 11:00:00,1451732400,61,77,1863,1,1,1106,181,970,746,1485,265,289,1814,1854,1206,1361,1815,125,No
2016-01-02 12:00:00,1451736000,68,76,1464,2,2,459,706,360,1307,1080,247,496,205,386,320,1042,1885,126,No
2016-01-02 13:00:00,1451739600,68,82,397,0,0,1376,155,237,1073,1613,1755,175,840,458,1771,1607,406,127,No
2016-01-02 14:00:00,1451743200,68,82,584,2,1,448,1354,1449,922,174,1899,1253,802,1421,1184,202,1142,128,No
2016-01-02 15:00:00,1451746800,66,85,1852,2,2,333,1799,1065,1350,1099,248,1880,1128,341,1308,980,219,129,No
2016-01-02 16:00:00,1451750400,68,85,1834,1,1,1050,732,931,945,1699,1555,801,921,1174,1325,734,883,130,No
2016-01-02 17:00:00,1451754000,66,85,1701,0,0,1825,1864,650,1991,1635,1950,1980,1209,1069,948,1309,1335,131,No
2016-01-02 18:00:00,1451757600,62,80,1233,0,2,1717,364,1549,330,1395,428,667,1593,535,424,416,500,132,No
2016-01-02 19:00:00,1451761200,62,79,312,2,1,1405,860,167,1213,1008,1529,1370,1593,1942,1836,1807,1891,133,No
2016-01-02 20:00:00,1451764800,65,81,1965,2,0,796,1539,508,396,1991,1804,761,1079,850,1765,182,1561,134,No
2016-01-02 21:00:00,1451768400,65,83,238,2,2,993,1349,491,1651,1745,1161,768,684,1044,1233,776,997,135,No
2016-01-02 22:00:00,1451772000,68,75,795,0,2,919,1789,1893,1664,287,1025,1665,1180,1772,157,1991,592,136,No
2016-01-02 23:00:00,1451775600,63,81,731,2,2,755,817,1936,262,785,876,745,1503,333,426,772,573,137,No
2016-01-03 00:00:00,1451779200,60,81,467,1,1,1627,1747,1505,631,884,1023,1195,224,1928,1923,1169,1416,138,No
2016-01-03 01:00:00,1451782800,63,76,1067,2,0,925,1039,1604,1990,626,2008,1666,1144,384,1266,1678,398,139,No
2016-01-03 02:00:00,1451786400,63,85,1868,3,0,684,1784,1851,1165,1980,301,996,738,1659,204,1054,1369,140,No
2016-01-03 03:00:00,1451790000,60,80,1024,0,1,1175,1676,630,589,1186,1934,1955,1960,456,1825,1320,1974,141,No
2016-01-03 04:00:00,1451793600,60,79,1877,0,2,433,1801,442,772,1144,1808,855,468,1905,1482,731,748,142,No
2016-01-03 05:00:00,1451797200,68,76,981,0,0,1337,1495,1134,1053,1488,541,508,1661,1366,560,1529,238,143,No
2016-01-03 06:00:00,1451800800,62,85,359,1,0,643,1423,1616,377,967,582,652,1450,491,1687,997,891,144,No
2016-01-03 07:00:00,1451804400,63,80,527,3,2,1119,1356,781,163,159,716,1724,1039,322,247,1171,782,145,No
2016-01-03 08:00:00,1451808000,68,76,650,1,2,892,1989,161,165,1867,496,1732,1795,813,1433,1764,1453,146,No
2016-01-03 09:00:00,1451811600,65,84,1195,3,1,1766,1240,1894,1404,219,604,1108,1449,1605,674,1120,239,147,No
2016-01-03 10:00:00,1451815200,62,77,597,3,2,974,1428,984,236,1966,1516,2002,1355,1874,1706,272,1710,148,No
2016-01-03 11:00:00,1451818800,62,82,1725,1,1,1719,333,1273,817,866,1439,626,1046,418,504,389,1728,149,No
2016-01-03 12:00:00,1451822400,64,110,1311,2,1,1179,1001,277,1679,1266,1236,527,987,1296,678,1234,1850,150,No
2016-01-03 13:00:00,1451826000,63,85,1602,2,0,167,428,1249,1410,910,400,1129,1151,1725,163,954,1392,151,No
2016-01-03 14:00:00,1451829600,66,79,945,2,0,622,1753,582,217,278,1222,781,2011,1804,156,1734,187,152,No
2016-01-03 15:00:00,1451833200,68,84,1631,2,0,271,1943,634,1068,616,495,649,781,1862,754,1466,1970,153,No
2016-01-03 16:00:00,1451836800,63,84,199,2,1,825,705,1254,1478,929,1375,1038,1890,1168,1881,1479,1146,154,No
2016-01-03 17:00:00,1451840400,62,80,705,0,1,1727,1427,1838,1513,922,384,1591,845,1293,1349,309,926,155,No
2016-01-03 18:00:00,1451844000,67,77,287,1,1,1486,808,1288,1046,1440,1406,1597,1146,1773,1618,953,1926,156,No
2016-01-03 19:00:00,1451847600,66,83,1651,0,1,183,843,1755,374,1032,223,1867,1682,481,913,325,567,157,No
2016-01-03 20:00:00,1451851200,66,85,1983,0,0,988,1322,311,1317,1342,1154,609,1748,238,1059,1376,1540,158,No
2016-01-03 21:00:00,1451854800,68,75,1645,0,0,1748,1578,737,1074,1715,1366,834,1451,1672,1315,727,1680,159,No
2016-01-03 22:00:00,1451858400,64,83,1459,1,0,649,1289,1017,245,726,1083,1638,937,1585,1985,960,933,160,No
2016-01-03 23:00:00,1451862000,61,78,618,2,1,745,381,1606,995,304,1957,243,1870,1303,972,262,272,161,No
2016-01-04 00:00:00,1451865600,66,83,874,3,1,1434,1635,626,1447,248,291,1323,1097,231,157,1322,803,162,No
2016-01-04 01:00:00,1451869200,64,84,1499,3,0,1241,1693,1662,231,885,1131,1515,361,1961,444,269,930,163,No
2016-01-04 02:00:00,1451872800,61,75,1160,1,1,440,1457,1749,294,1062,1263,1816,919,1709,812,1288,1157,164,No
2016-01-04 03:00:00,1451876400,62,77,208,2,0,534,1021,772,1616,204,1321,1251,440,950,1754,624,669,165,No
2016-01-04 04:00:00,1451880000,61,82,1306,0,1,804,1260,319,1860,1140,721,790,751,1345,1831,1063,891,166,No
2016-01-04 05:00:00,1451883600,66,82,264,0,1,1645,599,1187,708,288,1045,1120,667,1064,553,1118,1697,167,No
2016-01-04 06:00:00,1451887200,63,81,1281,3,1,997,2006,887,1537,1782,499,565,1990,1949,1522,489,591,168,No
2016-01-04 07:00:00,1451890800,66,76,786,3,2,410,612,361,351,1895,278,219,1174,1589,594,661,299,169,No
2016-01-04 08:00:00,1451894400,64,78,345,2,0,1522,1060,1216,708,1225,1137,1809,1974,990,626,303,1856,170,No
2016-01-04 09:00:00,1451898000,65,76,1331,2,0,1379,1859,1178,680,1701,953,547,1379,302,379,1444,1583,171,No
2016-01-04 10:00:00,1451901600,66,79,312,3,1,304,1707,791,492,1905,1251,1031,835,1647,1810,1036,1576,172,No
2016-01-04 11:00:00,1451905200,67,78,1156,1,0,734,1010,1029,1610,1129,866,1229,772,917,891,463,1170,173,No
2016-01-04 12:00:00,1451908800,64,84,689,0,0,1734,220,1996,1225,1814,1062,863,236,1364,914,1572,939,174,No
2016-01-04 13:00:00,1451912400,67,75,1273,3,2,508,976,575,492,872,899,831,1157,1934,863,768,1165,175,No
2016-01-04 14:00:00,1451916000,64,76,1107,1,1,1213,673,925,194,1449,1308,1296,402,1014,1968,1565,935,176,No
2016-01-04 15:00:00,1451919600,63,82,756,1,2,599,1003,1431,662,636,784,1291,920,329,1449,810,157,177,No
2016-01-04 16:00:00,1451923200,65,80,326,2,0,930,507,763,1305,1309,1384,1675,835,1701,722,1564,1609,178,No
2016-01-04 17:00:00,1451926800,68,85,436,1,2,1348,1816,694,855,1162,1150,1508,1563,1713,1544,244,1120,179,No
2016-01-04 18:00:00,1451930400,64,84,1683,2,0,990,1905,806,1601,996,1950,1402,725,160,792,1327,716,180,No
2016-01-04 19:00:00,1451934000,61,76,1878,2,2,295,1544,419,791,1566,1826,332,1563,282,1744,1965,238,181,No
2016-01-04 20:00:00,1451937600,65,81,1348,3,1,666,1717,1748,2007,1692,1259,369,1405,796,1115,1743,1627,182,No
2016-01-04 21:00:00,1451941200,62,76,771,3,2,887,747,530,385,561,334,239,1558,186,1904,423,666,183,No
2016-01-04 22:00:00,1451944800,61,78,890,0,2,1707,1646,1527,1882,1571,1491,1859,376,1460,493,984,1351,184,No
2016-01-04 23:00:00,1451948400,65,78,459,1,0,1044,1321,1383,1735,793,601,243,1143,1369,1359,683,817,185,No
2016-01-05 00:00:00,1451952000,60,83,1742,3,2,579,1139,1263,1425,369,808,1901,1931,315,1733,931,1969,186,No
2016-01-05 01:00:00,1451955600,66,83,1922,2,1,1260,1485,621,1125,420,1603,569,1391,1267,649,507,396,187,No
2016-01-05 02:00:00,1451959200,64,79,1735,3,0,568,1116,1374,1007,366,1532,1463,1793,603,1405,1640,1969,188,No
2016-01-05 03:00:00,1451962800,67,75,1335,1,2,1151,1544,646,1844,1504,1456,581,1998,1048,1730,192,1594,189,No
2016-01-05 04:00:00,1451966400,66,80,1365,2,0,804,1838,1933,747,1285,1532,1611,1948,331,1801,1145,1025,190,No
2016-01-05 05:00:00,1451970000,64,80,898,0,2,1221,704,1515,486,1994,951,1797,1646,921,331,555,1094,191,No
2016-01-05 06:00:00,1451973600,66,81,1637,2,0,530,1336,1937,1632,1010,183,1139,1988,1881,1780,1993,1857,192,No
2016-01-05 07:00:00,1451977200,62,85,991,2,1,1255,1993,374,1395,1355,996,868,844,1326,285,991,1618,193,No
2016-01-05 08:00:00,1451980800,61,80,1782,2,2,1534,1206,1122,1477,1269,1290,1836,1356,766,1699,223,1904,194,No
2016-01-05 09:00:00,1451984400,61,77,1452,0,0,1477,1329,1583,1330,675,306,1455,1900,1268,715,1999,1736,195,No
2016-01-05 10:00:00,1451988000,66,78,1027,0,2,158,334,1294,1760,1859,650,440,1915,995,730,611,258,196,No
2016-01-05 11:00:00,1451991600,67,83,1860,2,2,1678,1025,2010,307,700,1867,1269,1838,1242,1817,873,422,197,No
2016-01-05 12:00:00,1451995200,60,78,317,3,2,1781,1923,668,1159,156,1322,810,1029,631,1175,1806,551,198,No
2016-01-05 13:00:00,1451998800,67,80,1905,1,1,232,172,392,727,325,1000,1509,1841,1336,650,250,407,199,No
2016-01-05 14:00:00,1452002400,66,76,1686,1,0,1313,1680,1900,321,1047,1603,1796,1189,1986,1835,1737,477,200,No
2016-01-05 15:00:00,1452006000,63,76,848,0,1,1302,1107,243,1050,1635,1133,361,1407,1081,657,241,576,201,No
2016-01-05 16:00:00,1452009600,66,78,571,2,0,1047,1309,1130,1394,383,415,904,1384,1585,1955,1904,423,202,No
2016-01-05 17:00:00,1452013200,62,82,696,3,2,1381,1459,1568,426,1475,389,200,1413,1140,1811,433,602,203,No
2016-01-05 18:00:00,1452016800,61,83,1951,3,2,1347,560,732,1732,1315,833,1546,511,1562,1133,528,1527,204,No
2016-01-05 19:00:00,1452020400,60,75,706,0,1,774,904,1748,1043,1309,833,1907,1173,971,847,1110,1021,205,No
2016-01-05 20:00:00,1452024000,68,80,1895,2,0,536,518,551,1747,176,1138,843,1856,1662,832,1581,1948,206,No
2016-01-05 21:00:00,1452027600,63,82,1250,0,2,1679,1822,1433,282,794,821,1803,1234,1042,1444,897,1798,207,No
2016-01-05 22:00:00,1452031200,66,76,1220,0,1,430,1121,1535,582,1409,1443,1564,1357,1527,314,1724,1069,208,No
2016-01-05 23:00:00,1452034800,66,84,657,1,2,1896,1589,1040,438,355,266,1638,727,1737,1262,801,1666,209,No
2016-01-06 00:00:00,1452038400,67,81,531,0,2,1379,1617,1723,560,1077,1633,1945,961,1361,1343,804,413,210,No
2016-01-06 01:00:00,1452042000,66,78,377,1,2,577,663,1204,534,1688,1817,598,880,1789,890,1967,1721,211,No
2016-01-06 02:00:00,1452045600,68,82,753,0,0,1570,764,194,492,1106,158,1281,1910,696,1668,633,897,212,No
2016-01-06 03:00:00,1452049200,64,85,1829,2,0,1425,234,1909,1832,303,1522,328,910,1818,1247,1526,564,213,No
2016-01-06 04:00:00,1452052800,67,84,1570,2,1,1123,1757,803,226,705,581,499,1625,425,165,233,1335,214,No
2016-01-06 05:00:00,1452056400,60,85,397,3,2,1765,996,241,190,1827,1012,273,1201,236,963,1903,1184,215,No
2016-01-06 06:00:00,1452060000,66,79,1959,0,2,329,1529,292,1410,1164,1131,157,1678,194,1989,1505,485,216,No
2016-01-06 07:00:00,1452063600,64,79,504,3,1,229,516,1047,1093,1250,854,893,1272,1662,1033,565,1180,217,No
2016-01-06 08:00:00,1452067200,68,79,693,3,1,1813,1440,973,1912,512,699,1284,979,437,447,1783,468,218,No
2016-01-06 09:00:00,1452070800,63,75,1124,0,0,589,461,298,605,1753,1685,779,813,1288,1335,174,766,219,No
2016-01-06 10:00:00,1452074400,62,85,869,0,2,401,1126,1252,496,781,1976,293,617,958,1099,1861,1765,220,No
2016-01-06 11:00:00,1452078000,68,77,697,1,1,1022,1406,1105,685,875,1161,1892,1696,1816,1506,1099,474,221,No
2016-01-06 12:00:00,1452081600,60,79,718,2,1,1558,557,1595,998,1666,1292,256,2006,1792,435,1342,1438,222,No
2016-01-06 13:00:00,1452085200,67,77,1400,2,0,1628,1415,800,1474,799,1724,1332,414,838,1388,1955,1831,223,No
2016-01-06 14:00:00,1452088800,65,77,1623,3,0,1221,701,1207,1386,986,662,1505,757,282,508,895,1229,224,No
2016-01-06 15:00:00,1452092400,67,84,1988,0,0,886,1418,323,1595,1527,1124,667,946,1048,330,1479,1995,225,No
2016-01-06 16:00:00,1452096000,62,80,1278,0,0,1230,1836,1912,1422,1132,1046,661,576,1684,358,1052,1265,226,No
2016-01-06 17:00:00,1452099600,66,75,1650,0,1,915,867,1316,927,1691,1970,1973,1366,1887,825,1705,1395,227,No
2016-01-06 18:00:00,1452103200,62,75,329,3,2,1864,676,1705,998,641,497,1989,1184,1669,836,1692,751,228,No
2016-01-06 19:00:00,1452106800,68,85,1319,2,0,929,683,687,1584,1085,187,1342,549,1418,1470,1942,448,229,No
2016-01-06 20:00:00,1452110400,62,84,542,2,0,1419,1575,605,540,440,1872,1264,1161,266,1359,262,1567,230,No
2016-01-06 21:00:00,1452114000,66,85,1889,2,2,214,568,1771,925,2007,926,1074,940,338,666,1844,851,231,No
2016-01-06 22:00:00,1452117600,63,82,1947,1,2,411,681,249,326,1565,1483,506,381,669,1881,848,1825,232,No
2016-01-06 23:00:00,1452121200,67,77,1067,2,2,942,1693,537,1953,192,851,776,612,1670,1878,1295,335,233,No
2016-01-07 00:00:00,1452124800,65,84,333,2,0,707,1297,547,1204,1170,867,583,478,223,1631,964,1351,234,No
2016-01-07 01:00:00,1452128400,66,77,1056,0,2,573,1784,1328,1068,1690,569,277,1004,1141,1755,163,369,235,No
2016-01-07 02:00:00,1452132000,61,75,586,3,1,1968,929,1322,652,1455,1827,1923,1993,1988,354,1622,1388,236,No
2016-01-07 03:00:00,1452135600,60,82,1288,3,1,1988,780,950,1777,472,883,206,1505,1319,1416,1135,414,237,No
2016-01-07 04:00:00,1452139200,63,85,1774,0,1,1058,614,1448,985,1487,349,1342,296,787,1323,1865,1414,238,Yes
2016-01-07 05:00:00,1452142800,60,81,1490,0,0,524,1539,1200,1443,1365,236,1206,1636,1070,1111,1534,489,1,No
2016-01-07 06:00:00,1452146400,68,75,498,0,2,1533,820,1887,1351,755,408,220,776,994,1080,425,744,2,No
2016-01-07 07:00:00,1452150000,66,78,370,2,0,264,736,560,901,178,527,366,950,1926,1492,413,538,3,No
2016-01-07 08:00:00,1452153600,65,76,1863,1,1,1075,1715,1778,1549,267,245,1159,1464,1142,269,955,476,4,No
2016-01-07 09:00:00,1452157200,67,78,1315,3,2,1157,448,377,1688,349,1322,342,940,346,1090,923,1669,5,No
2016-01-07 10:00:00,1452160800,68,82,1059,1,2,658,1386,646,307,275,940,640,1322,208,612,514,202,6,No
2016-01-07 11:00:00,1452164400,66,79,164,3,1,1853,1696,1530,205,1380,1323,368,1625,780,1330,688,1397,7,No
2016-01-07 12:00:00,1452168000,64,78,1196,1,0,1937,1600,1383,1633,849,1435,616,838,515,1967,1792,1768,8,No
2016-01-07 13:00:00,1452171600,67,84,1847,2,1,1798,1454,716,423,1851,815,1603,1990,557,1098,281,777,9,No
2016-01-07 14:00:00,1452175200,62,79,1920,3,2,1009,1710,1189,1386,1519,1578,1804,1467,1395,974,765,1553,10,No
2016-01-07 15:00:00,1452178800,62,84,1044,1,0,456,1485,996,620,377,1802,420,718,506,972,788,1184,11,No
2016-01-07 16:00:00,1452182400,63,80,1608,0,1,1305,1065,162,1414,522,257,602,866,362,299,1167,1882,12,No
2016-01-07 17:00:00,1452186000,65,83,880,1,1,582,1333,1228,827,371,543,352,1429,777,1612,1082,900,13,No
2016-01-07 18:00:00,1452189600,62,82,569,1,2,368,1341,1605,1212,1851,1873,1993,205,1700,361,987,1519,14,No
2016-01-07 19:00:00,1452193200,61,75,1745,0,0,1798,1427,1171,1879,1051,1379,1584,771,268,1145,833,574,15,No
2016-01-07 20:00:00,1452196800,68,76,1833,2,2,210,928,326,493,1197,470,569,1866,1742,1866,1513,1570,16,No
2016-01-07 21:00:00,1452200400,61,79,2004,3,0,1315,502,1159,1887,643,198,1531,1189,1868,830,1952,1269,17,No
2016-01-07 22:00:00,1452204000,64,78,1696,3,1,1877,572,1940,156,1188,1277,1674,448,1570,172,1762,756,18,No
2016-01-07 23:00:00,1452207600,60,80,769,1,1,1002,160,330,1240,605,627,705,1075,1654,1344,1415,910,19,No
2016-01-08 00:00:00,1452211200,65,82,1761,3,1,895,1582,649,1065,191,294,1967,1023,1238,497,790,969,20,No
2016-01-08 01:00:00,1452214800,63,78,941,0,1,1262,1344,476,1560,635,979,458,1477,1031,1220,1778,1141,21,No
2016-01-08 02:00:00,1452218400,68,82,1466,1,2,1458,407,1743,1974,1936,1939,883,1846,502,444,449,1842,22,No
2016-01-08 03:00:00,1452222000,68,78,914,2,1,1056,1369,1784,1407,1863,1363,1669,948,1436,376,1939,1398,23,No
2016-01-08 04:00:00,1452225600,68,85,231,1,1,267,1855,819,1492,216,1980,1800,1000,1083,526,1527,558,24,No
2016-01-08 05:00:00,1452229200,66,80,1193,1,1,342,549,1018,701,1094,311,1555,1902,802,389,1443,736,25,No
2016-01-08 06:00:00,1452232800,66,85,1735,3,1,1036,378,996,1568,1806,938,1471,1478,1458,1205,1176,1080,26,No
2016-01-08 07:00:00,1452236400,62,85,1781,3,0,347,849,1600,2005,1027,1835,1539,900,1997,1398,1073,1568,27,No
2016-01-08 08:00:00,1452240000,60,84,1614,0,2,391,1937,1009,553,1823,910,667,601,984,219,1839,1749,28,No
2016-01-08 09:00:00,1452243600,64,83,705,2,2,807,167,1234,1964,202,1199,1146,1573,1930,1781,1077,309,29,No
2016-01-08 10:00:00,1452247200,63,84,306,3,1,826,874,1548,1222,158,1973,1914,610,1824,1649,943,1743,30,No
2016-01-08 11:00:00,1452250800,62,83,953,2,0,2009,252,1365,1152,362,369,1425,891,613,541,771,1410,31,No
2016-01-08 12:00:00,1452254400,64,79,1923,0,1,556,1770,1814,387,800,335,850,746,588,1793,1773,1707,32,No
2016-01-08 13:00:00,1452258000,67,84,284,3,0,1225,1035,1469,180,832,1366,762,1852,1799,593,2003,1308,33,No
2016-01-08 14:00:00,1452261600,67,79,1049,0,0,329,179,1004,1626,1408,773,391,452,1302,1163,246,256,34,No
2016-01-08 15:00:00,1452265200,61,82,264,3,0,545,1093,1019,252,1370,214,1776,1601,234,1575,1211,1827,35,No
2016-01-08 16:00:00,1452268800,64,85,1717,2,0,449,750,331,1300,578,1211,1862,1844,321,1078,1075,597,36,No
2016-01-08 17:00:00,1452272400,67,79,1057,0,2,903,1839,1547,1575,1671,1717,414,1334,1091,1372,1730,1278,37,No
2016-01-08 18:00:00,1452276000,65,78,1022,1,1,1576,1617,1896,1228,1031,364,1744,904,359,1319,1253,1525,38,No
2016-01-08 19:00:00,1452279600,64,85,1898,2,0,1025,1818,636,1534,861,298,1409,992,723,824,1929,1002,39,No
2016-01-08 20:00:00,1452283200,63,80,428,0,1,683,912,371,1349,1046,1562,1868,1887,1848,1587,1875,2004,40,No
2016-01-08 21:00:00,1452286800,61,77,1661,0,1,420,178,779,1827,1954,467,550,700,1301,1659,1775,171,41,No
2016-01-08 22:00:00,1452290400,64,75,503,1,2,458,1227,1740,1719,1536,453,1043,733,1201,1791,1449,1512,42,No
2016-01-08 23:00:00,1452294000,63,85,540,3,0,815,1395,1553,669,363,1116,1912,620,1918,1176,871,896,43,No
2016-01-09 00:00:00,1452297600,63,83,1439,0,2,889,251,582,1755,1180,1804,1335,163,1485,888,800,1876,44,No
2016-01-09 01:00:00,1452301200,68,82,707,0,0,1008,991,1024,1360,211,305,1642,1950,1156,1239,394,2000,45,No
2016-01-09 02:00:00,1452304800,63,77,244,1,1,1227,218,1449,1405,1569,1448,995,1479,1346,1970,229,1381,46,No
2016-01-09 03:00:00,1452308400,65,84,2003,2,2,187,1773,1619,1651,1358,1796,1149,519,1882,1437,557,1257,47,No
2016-01-09 04:00:00,1452312000,62,81,163,2,2,189,631,1552,1256,506,1212,616,998,1054,594,249,167,48,No
2016-01-09 05:00:00,1452315600,68,75,938,0,1,1606,525,1049,1092,169,380,1566,957,1317,1597,1468,837,49,No
2016-01-09 06:00:00,1452319200,62,82,1525,3,0,597,1741,1285,1124,876,1688,356,1368,651,1301,1907,703,50,No
2016-01-09 07:00:00,1452322800,62,84,675,3,0,1717,502,576,1546,1783,1020,422,939,595,1908,698,1720,51,No
2016-01-09 08:00:00,1452326400,61,77,1307,0,0,1338,1435,1326,571,1505,668,1487,979,1804,1615,1169,1225,52,No
2016-01-09 09:00:00,1452330000,65,83,360,2,0,1717,1213,695,1349,449,1518,1872,1766,1655,340,1886,306,53,No
2016-01-09 10:00:00,1452333600,64,81,431,2,1,1563,756,994,1107,1447,1646,623,534,1512,1597,1264,1766,54,No
2016-01-09 11:00:00,1452337200,65,79,956,2,1,1859,1659,385,1723,682,576,1787,675,942,823,1862,1049,55,No
2016-01-09 12:00:00,1452340800,62,80,1218,1,2,635,1439,1067,1596,378,938,368,1072,813,614,834,155,56,No
2016-01-09 13:00:00,1452344400,68,81,1436,3,1,1673,1794,516,1562,1973,1974,1972,527,701,416,1337,1510,57,No
2016-01-09 14:00:00,1452348000,66,75,1300,0,1,183,1003,1201,1363,1734,1702,1779,2007,1189,1970,489,963,58,No
2016-01-09 15:00:00,1452351600,60,75,223,3,2,1395,720,666,1608,1319,660,1150,1099,1529,1914,204,1284,59,No
2016-01-09 16:00:00,1452355200,60,79,1203,1,0,485,871,1491,644,1308,945,421,659,1043,786,931,1144,60,No
2016-01-09 17:00:00,1452358800,64,79,1095,2,0,1035,1760,1702,1962,948,1045,1399,1134,1733,1857,1091,1011,61,No
2016-01-09 18:00:00,1452362400,63,75,702,3,0,1219,1914,1167,526,1750,1026,1461,979,518,1887,917,1504,62,No
2016-01-09 19:00:00,1452366000,66,85,257,3,0,384,1540,2009,1893,332,409,903,624,899,640,1121,444,63,No
2016-01-09 20:00:00,1452369600,66,77,1794,1,1,1317,516,1210,737,201,1384,1297,1977,422,1573,292,510,64,No
2016-01-09 21:00:00,1452373200,67,85,1988,0,1,197,856,1191,1283,1023,766,851,1183,1254,1173,551,230,65,No
2016-01-09 22:00:00,1452376800,67,83,1215,2,0,777,332,160,1254,1756,1343,926,1380,374,1721,1434,1869,66,No
2016-01-09 23:00:00,1452380400,66,83,699,2,2,1893,454,627,542,663,1329,376,1536,1900,960,598,233,67,No
2016-01-10 00:00:00,1452384000,65,80,1906,3,2,995,1982,894,1128,789,1529,861,294,1870,540,1858,1777,68,No
2016-01-10 01:00:00,1452387600,63,78,284,3,0,511,1205,689,741,1221,1929,1621,1253,1369,434,1581,826,69,No
